cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat
223,12.139033289005816,10.63247226630508,13.787307590136372,2,twin,middle-aged
224,9.450842183422889,8.21197174425042,10.822722281440166,2,twin,old
225,11.120230622510041,9.79953461899655,12.515052245599037,2,twin,old
226,16.18783390337689,14.124254856957,18.452751157462256,2,twin,old
227,12.739823930550424,11.265642427259381,14.29037787103928,2,twin,old
228,15.640372171618157,12.724488618630453,19.11642916715791,1,singleton,young
229,17.673411290343104,15.54103044354628,19.954980936395728,2,twin,middle-aged
230,15.37481317901053,13.325431242065939,17.608006478900244,2,twin,middle-aged
231,16.641530007813685,14.462424721184451,19.0658134529213,2,twin,middle-aged
232,15.662616477942292,13.61169385523243,17.94429501451416,2,twin,middle-aged
233,12.123810423168374,10.520892911610495,13.913520429055348,2,twin,middle-aged
234,13.360933935736572,11.594453412795238,15.333267411612011,2,twin,middle-aged
235,20.68325665580492,17.77232680493416,24.12911187934186,1,singleton,middle-aged
236,12.577703200949335,10.914678703330063,14.528658586681372,2,twin,middle-aged
237,11.983939294151323,10.498159418247033,13.770855819271766,2,twin,middle-aged
238,10.191818388450784,8.805598179216526,11.820063007187303,2,twin,young
239,11.434723069969172,9.87945161570635,13.26153410562478,2,twin,young
240,7.373615524200712,6.400438817000741,8.500490544519037,2,twin,middle-aged
241,7.110272112622116,6.171851716393571,8.196901596500501,2,twin,middle-aged
242,17.254813442594475,14.181891217657752,20.766684032451483,1,singleton,middle-aged
243,14.067376472549727,12.182972402311094,16.298815500760977,2,twin,young
244,12.197006399535903,10.659757853892001,14.018622890979858,2,twin,young
245,10.463874812231426,9.125696328860395,11.879393343440352,2,twin,middle-aged
246,10.462757048473405,8.94626965504459,12.090079609507926,2,twin,middle-aged
247,14.27118179058236,11.945599901730715,16.78855895709186,1,singleton,young
248,12.549134162880495,11.034281703044279,14.124376936696276,2,twin,middle-aged
249,12.319088202854614,10.65844936302276,14.102685159323173,2,twin,middle-aged
250,12.11752678786882,10.783804967612607,13.480665290305348,2,twin,young
251,11.267174030825396,10.027046724271372,12.534653690985675,2,twin,young
252,14.849407659591382,13.136230730654535,16.579083653084858,1,singleton,middle-aged
253,5.811885318793131,4.855036958296325,6.890416432648408,1,singleton,young
254,17.82856650155342,15.84289586526005,19.862018238487277,2,twin,old
255,17.82856650155342,15.84289586526005,19.862018238487277,2,twin,old
256,10.90593759537898,9.158971422211764,12.806373190148033,2,twin,middle-aged
257,12.682505859448698,10.811005635961715,14.654732948404922,2,twin,middle-aged
258,11.513236181478684,10.106100761534744,12.982633613363435,1,singleton,old
259,22.221877314257963,19.132381528608686,25.543991961608132,2,twin,middle-aged
260,23.20751788480494,19.64152634454199,27.009645916692552,2,twin,middle-aged
261,22.472556104980445,19.62661347754849,25.522539336343954,2,twin,middle-aged
262,22.028281393995798,19.52076784469453,24.717848179529287,2,twin,middle-aged
